OrderNumber,OrderDate,Customer_Name_Index,Chanel,Currency_Code,Warehouse_Code,Delivery_Region_Index,Product_Description_Index,Order_Quantity,Unit_Price,total_sales,Total_Unit_Cost
SO - 000101,01-06-2014,59,Distributor,USD,NXH382,47,25,5,1963.1,9815.5,1001.18
SO - 000102,01-06-2014,33,Wholesale,USD,GUT930,36,24,5,3939.6,19698,3348.66
SO - 000103,01-06-2014,8,Export,USD,GUT930,39,14,10,1775.5,17755,781.22
SO - 000104,01-06-2014,76,Export,USD,AXW291,20,2,6,2324.9,13949.4,1464.69
SO - 000105,01-06-2014,143,Wholesale,USD,AXW291,20,13,6,1822.4,10934.4,1476.14
SO - 000106,01-06-2014,124,Wholesale,USD,NXH382,52,12,6,1038.5,6231,446.56
SO - 000107,01-06-2014,151,Distributor,USD,AXW291,1,22,10,1192.6,11926,536.67
SO - 000108,01-06-2014,20,Distributor,USD,NXH382,51,10,10,1815.7,18157,1525.19
SO - 000109,02-06-2014,121,Wholesale,USD,NXH382,54,25,7,3879.3,27155.1,2211.2
SO - 000110,02-06-2014,110,Wholesale,USD,NXH382,47,4,6,1956.4,11738.4,1212.97
SO - 000111,02-06-2014,130,Export,USD,AXW291,3,17,12,201,2412,124.62
SO - 000112,02-06-2014,144,Distributor,USD,AXW291,28,28,8,6277.9,50223.2,2762.28
SO - 000113,02-06-2014,130,Export,USD,NXH382,57,6,7,1051.9,7363.3,641.66
SO - 000114,02-06-2014,27,Export,USD,NXH382,53,27,9,254.6,2291.4,216.41
SO - 000115,02-06-2014,63,Distributor,USD,AXW291,25,3,5,3932.9,19664.5,3146.32
SO - 000116,02-06-2014,110,Wholesale,USD,FLR025,64,29,10,1112.2,11122,700.69
SO - 000117,02-06-2014,110,Wholesale,USD,NXH382,58,19,12,1239.5,14874,904.84
SO - 000118,02-06-2014,156,Export,USD,AXW291,4,17,12,984.9,11818.8,393.96
SO - 000119,02-06-2014,41,Distributor,USD,FLR025,63,26,5,5581.1,27905.5,4130.01
SO - 000120,02-06-2014,4,Wholesale,USD,AXW291,25,17,8,3095.4,24763.2,1795.33
SO - 000121,02-06-2014,112,Export,USD,GUT930,35,6,8,2278,18224,1754.06
SO - 000122,03-06-2014,90,Export,USD,NXH382,51,26,12,991.6,11899.2,654.46
SO - 000123,03-06-2014,109,Distributor,USD,AXW291,4,2,6,3979.8,23878.8,3064.45
SO - 000124,03-06-2014,52,Wholesale,USD,GUT930,40,14,12,1969.8,23637.6,866.71
SO - 000125,03-06-2014,127,Wholesale,USD,GUT930,31,25,12,268,3216,131.32
SO - 000126,03-06-2014,133,Wholesale,USD,AXW291,20,6,11,174.2,1916.2,95.81
SO - 000127,03-06-2014,116,Distributor,USD,GUT930,42,13,6,2988.2,17929.2,2510.09
SO - 000128,03-06-2014,20,Wholesale,USD,GUT930,43,13,11,3999.9,43998.9,2679.93
SO - 000129,03-06-2014,130,Distributor,USD,AXW291,18,15,10,5976.4,59764,2450.32
SO - 000130,03-06-2014,103,Wholesale,USD,AXW291,19,7,6,2901.1,17406.6,2378.9
SO - 000131,04-06-2014,133,Distributor,USD,NXH382,55,17,7,6076.9,42538.3,2734.61
SO - 000132,04-06-2014,51,Distributor,USD,NXH382,55,5,6,5735.2,34411.2,4186.7
SO - 000133,04-06-2014,175,Export,USD,GUT930,39,2,12,3919.5,47034,2077.34
SO - 000134,04-06-2014,117,Distributor,USD,FLR025,66,26,8,6083.6,48668.8,3832.67
SO - 000135,04-06-2014,42,Wholesale,USD,FLR025,61,3,5,2566.1,12830.5,1642.3
SO - 000136,04-06-2014,166,Wholesale,USD,AXW291,15,19,10,2278,22780,1093.44
SO - 000137,04-06-2014,173,Wholesale,USD,GUT930,46,26,7,261.3,1829.1,120.2
SO - 000138,04-06-2014,11,Wholesale,USD,FLR025,65,6,9,998.3,8984.7,698.81
SO - 000139,04-06-2014,39,Wholesale,USD,AXW291,17,27,6,3497.4,20984.4,1958.54
SO - 000140,04-06-2014,137,Wholesale,USD,GUT930,36,26,9,1132.3,10190.7,486.89
SO - 000141,04-06-2014,75,Wholesale,USD,AXW291,8,14,9,2405.3,21647.7,1587.5
SO - 000142,04-06-2014,33,Distributor,USD,FLR025,66,15,7,5701.7,39911.9,3249.97
SO - 000143,05-06-2014,134,Distributor,USD,GUT930,45,25,9,2452.2,22069.8,1446.8
SO - 000144,05-06-2014,115,Wholesale,USD,AXW291,2,25,7,3095.4,21667.8,2012.01
SO - 000145,05-06-2014,90,Export,USD,GUT930,38,13,9,3865.9,34793.1,2164.9
SO - 000146,05-06-2014,2,Distributor,USD,AXW291,7,5,7,2304.8,16133.6,1382.88
SO - 000147,05-06-2014,47,Distributor,USD,AXW291,7,11,10,3195.9,31959,1470.11
SO - 000148,05-06-2014,80,Wholesale,USD,NXH382,53,13,10,6452.1,64521,5161.68
SO - 000149,06-06-2014,78,Export,USD,AXW291,19,4,6,2003.3,12019.8,921.52
SO - 000150,06-06-2014,91,Wholesale,USD,AXW291,4,18,5,3638.1,18190.5,1455.24
SO - 000151,06-06-2014,19,Export,USD,AXW291,20,3,6,2278,13668,1822.4
SO - 000152,06-06-2014,21,Distributor,USD,AXW291,26,5,12,924.6,11095.2,582.5
SO - 000153,06-06-2014,31,Wholesale,USD,AXW291,20,21,11,3926.2,43188.2,3062.44
SO - 000154,06-06-2014,70,Export,USD,FLR025,63,15,7,3825.7,26779.9,2257.16
SO - 000155,06-06-2014,89,Wholesale,USD,FLR025,65,4,10,2257.9,22579,1377.32
SO - 000156,07-06-2014,3,Wholesale,USD,AXW291,27,30,7,1112.2,7785.4,756.3
SO - 000157,07-06-2014,76,Wholesale,USD,AXW291,19,14,5,3557.7,17788.5,1814.43
